7542,2021-12-03,?,1,2,5,6,7,11,14,19,24,26,35,43,44,47,51,55,64,66,71,73,78
7543,2021-12-04,?,1,10,12,13,15,16,18,22,28,30,31,33,38,53,55,57,63,64,67,71,80
7544,2021-12-05,?,4,6,9,17,20,25,27,28,29,33,42,43,48,49,53,59,60,63,65,73,74
7545,2021-12-06,?,4,11,20,24,25,27,34,35,45,47,48,50,51,52,58,60,66,68,69,70,72
7546,2021-12-07,?,2,1,3,6,7,28,29,34,36,37,41,53,55,56,57,63,68,69,71,75,79
7547,2021-12-08,?,3,3,4,5,11,15,21,32,36,42,43,49,57,58,59,61,62,67,72,73,80
7548,2021-12-09,?,3,2,5,7,9,11,12,20,35,36,39,50,51,52,53,57,59,64,67,72,76
7549,2021-12-10,?,3,7,8,10,13,19,27,33,35,38,46,51,52,59,66,67,70,73,77,79,80
7550,2021-12-11,?,2,3,14,21,22,25,26,28,35,37,39,43,44,49,55,56,64,66,77,78,80
7551,2021-12-12,?,4,1,2,10,20,22,24,25,27,34,41,42,52,53,56,59,68,69,71,78,80
7552,2021-12-13,?,3,15,18,19,20,24,25,27,28,32,34,38,43,49,59,65,66,67,76,77,79
7553,2021-12-14,?,4,6,14,20,21,26,28,32,36,38,40,49,51,56,57,65,74,75,76,77,79
7554,2021-12-15,?,4,4,7,8,11,13,16,25,29,32,35,37,40,41,44,46,49,50,68,70,71
7555,2021-12-16,?,4,3,4,5,6,11,13,14,16,24,43,45,48,54,56,65,67,73,76,77,79
7556,2021-12-17,?,4,3,4,5,10,15,16,20,22,25,27,36,43,48,59,61,68,69,70,72,74
7557,2021-12-18,?,1,2,4,8,11,17,24,32,39,40,41,46,47,54,67,69,71,72,73,75,80
7558,2021-12-19,?,1,4,10,17,19,20,27,28,32,33,48,52,54,56,58,66,69,70,71,76,79
7559,2021-12-20,?,1,1,2,6,7,9,13,21,31,34,48,50,51,52,53,65,66,67,69,76,80
7560,2021-12-21,?,4,2,6,8,12,14,18,22,24,25,33,35,37,41,47,49,57,63,68,77,79
7561,2021-12-22,?,4,2,3,5,7,8,9,11,16,28,30,34,38,40,43,52,56,61,73,78,80
7562,2021-12-23,?,4,9,17,20,23,25,32,35,39,41,44,46,48,51,59,60,61,62,63,64,68
7563,2021-12-24,?,1,3,4,6,7,14,16,21,24,27,29,38,39,44,46,47,52,64,66,73,80
7564,2021-12-25,?,1,7,16,22,25,26,28,30,33,38,40,41,43,51,57,59,61,64,66,68,78
7565,2021-12-26,?,4,3,6,7,8,17,18,33,37,41,42,51,54,60,63,64,67,68,70,78,80
7566,2021-12-27,?,1,2,4,5,9,10,14,16,19,24,42,45,47,53,54,56,61,62,66,73,74
7567,2021-12-28,?,4,2,3,10,14,17,22,25,31,36,43,46,49,50,56,60,67,69,72,76,78
7568,2021-12-29,?,2,2,7,13,14,16,17,21,23,28,36,38,42,43,53,56,59,71,74,78,79
7569,2021-12-30,?,1,2,12,19,21,28,34,38,41,42,44,50,51,56,62,66,69,70,71,75,77
7570,2021-12-31,?,1,1,11,14,16,17,18,20,24,25,26,28,32,33,42,44,49,59,64,76,80
7571,2022-01-01,?,4,1,4,5,6,12,13,15,23,32,36,37,38,42,44,45,49,60,63,68,76
7572,2022-01-02,?,3,2,6,10,18,19,24,25,27,32,33,34,36,40,43,47,50,51,58,62,74
7573,2022-01-03,?,3,3,6,7,8,10,17,21,33,39,42,46,48,49,51,52,60,61,69,72,76
7574,2022-01-04,?,1,16,19,26,27,33,37,38,39,43,47,48,49,51,54,56,64,69,71,73,75
7575,2022-01-05,?,4,6,7,8,12,18,22,23,27,33,43,46,47,49,59,65,66,71,72,73,75
7576,2022-01-06,?,3,1,3,9,13,28,32,34,45,46,51,52,55,56,58,60,63,67,78,79,80
7577,2022-01-07,?,3,1,2,7,8,19,21,22,23,28,30,37,43,44,48,49,56,59,66,72,78
7578,2022-01-08,?,3,1,3,5,8,11,19,21,29,34,36,38,42,43,47,60,69,72,73,74,76
7579,2022-01-09,?,3,1,4,6,12,16,18,20,21,24,28,48,49,53,56,59,60,62,70,72,75
7580,2022-01-10,?,4,1,8,9,14,18,21,25,26,29,33,38,44,51,53,54,58,64,71,73,74
7581,2022-01-11,?,1,1,3,8,10,17,18,27,34,35,36,40,43,48,54,57,58,68,69,74,80
7582,2022-01-12,?,2,14,17,24,30,34,38,41,42,48,50,51,52,54,58,62,64,65,68,69,79
7583,2022-01-13,?,1,1,9,11,18,20,30,33,35,38,45,47,48,54,56,59,65,67,70,78,79
7584,2022-01-14,?,1,2,5,9,14,20,35,38,42,48,51,53,59,60,64,69,70,73,75,78,79
7585,2022-01-15,?,4,4,5,11,13,14,18,19,20,21,27,31,50,57,58,61,64,67,73,74,75
7586,2022-01-16,?,3,2,4,10,15,16,23,25,30,35,38,47,48,52,53,58,59,69,71,78,80
7587,2022-01-17,?,1,1,6,7,9,23,26,29,32,38,41,44,47,51,62,66,70,71,72,76,79
7588,2022-01-18,?,1,12,20,29,31,34,36,39,40,41,44,45,46,50,54,61,63,70,75,76,80
7589,2022-01-19,?,1,3,7,18,20,21,23,26,29,32,34,36,41,47,51,56,72,74,77,79,80
7590,2022-01-20,?,4,3,12,16,23,31,36,37,38,40,44,46,49,50,55,56,64,70,73,77,79
7591,2022-01-21,?,3,2,3,7,8,14,18,21,23,30,32,35,36,44,47,48,52,55,58,63,78
7592,2022-01-22,?,2,3,5,18,20,24,25,30,31,33,35,38,42,43,52,54,55,58,60,65,74
7593,2022-01-23,?,1,3,6,8,22,23,27,30,31,35,37,39,40,47,52,65,66,71,75,76,77
7594,2022-01-24,?,2,1,3,4,7,8,11,21,22,30,34,45,46,48,52,56,62,65,66,71,73
7595,2022-01-25,?,3,6,17,20,21,23,31,33,35,40,44,46,49,52,54,55,65,71,73,75,80
7596,2022-01-26,?,1,3,7,12,13,14,18,24,25,28,35,37,40,44,46,51,52,55,66,74,78
7597,2022-01-27,?,2,1,6,12,13,20,24,27,31,34,39,43,44,52,55,61,63,68,72,76,79
7598,2022-01-28,?,3,1,7,14,15,19,21,25,28,30,31,40,44,47,49,55,56,57,58,64,74
7599,2022-01-29,?,4,4,13,17,20,28,32,33,34,37,38,44,50,53,55,56,59,69,73,74,78
7600,2022-01-30,?,2,10,14,15,20,28,30,34,35,37,40,41,42,44,51,55,56,57,63,71,80
7601,2022-01-31,?,2,1,4,6,9,11,13,16,20,22,27,33,34,46,48,59,65,71,73,76,78
7602,2022-02-01,?,1,3,9,12,13,14,15,19,20,23,27,29,30,39,46,52,56,58,70,71,77
7603,2022-02-02,?,3,1,3,5,6,9,14,30,36,44,48,50,57,58,60,61,62,65,70,72,80
7604,2022-02-03,?,4,8,11,14,15,17,20,25,27,30,33,34,36,44,48,53,58,59,65,69,70
7605,2022-02-04,?,4,5,17,18,25,27,29,31,36,39,52,54,57,58,59,61,62,63,70,71,74
7606,2022-02-05,?,1,2,4,7,18,19,26,28,31,33,35,44,55,57,61,62,70,71,75,76,79
7607,2022-02-06,?,3,3,6,9,10,12,17,24,49,54,57,61,63,64,68,70,71,72,75,79,80
7608,2022-02-07,?,4,1,3,10,13,17,19,25,26,32,43,44,51,52,62,66,69,71,74,77,78
7609,2022-02-08,?,2,4,12,18,22,24,27,28,35,36,40,45,46,47,48,52,56,61,64,70,72
7610,2022-02-09,?,3,1,2,13,15,21,22,24,25,26,34,40,46,48,51,52,58,59,65,66,68
7611,2022-02-10,?,3,2,4,8,12,14,16,24,37,39,43,46,47,53,57,62,65,72,75,78,80
7612,2022-02-11,?,2,3,13,16,17,20,25,38,45,46,52,53,54,58,60,61,65,66,68,70,73
7613,2022-02-12,?,2,1,5,8,11,13,14,19,22,26,32,33,34,35,39,49,54,57,58,62,74
7614,2022-02-13,?,2,6,16,21,23,24,26,32,35,38,39,42,45,46,49,51,70,71,72,73,80
7615,2022-02-14,?,4,2,9,10,11,15,28,33,34,36,44,45,46,49,50,52,55,63,75,76,78
7616,2022-02-15,?,2,8,13,14,15,19,22,27,30,32,35,36,38,40,45,50,52,64,67,70,74
7617,2022-02-16,?,1,1,2,3,6,9,11,13,22,32,41,43,47,49,51,65,69,73,77,78,80
