2041,2020-10-28,b,2,8,24,25,27,40,43
2042,2020-10-31,b,2,5,18,26,32,41,45
2043,2020-11-04,a,2,6,13,26,27,28,43
2044,2020-11-07,a,4,5,8,10,25,37,48
2045,2020-11-11,a,2,4,20,22,45,46,47
2046,2020-11-14,a,3,2,12,18,24,27,35
2047,2020-11-18,a,2,3,6,13,20,34,47
2048,2020-11-21,b,3,14,20,32,33,38,39
2049,2020-11-25,a,1,6,24,27,29,34,43
2050,2020-11-28,a,4,11,16,20,22,29,37
2051,2020-12-02,b,1,4,9,31,50,51,52
2052,2020-12-05,b,1,3,22,23,33,34,44
2053,2020-12-09,a,2,1,18,21,25,40,52
2054,2020-12-12,b,4,12,26,28,31,35,50
2055,2020-12-16,b,4,2,16,22,32,49,52
2056,2020-12-19,b,3,11,17,24,25,40,52
2057,2020-12-23,a,2,23,27,36,42,43,49
2058,2020-12-26,b,1,6,9,23,46,49,52
2059,2020-12-30,b,2,7,10,26,34,38,39
2060,2021-01-02,b,3,6,13,22,23,27,31
2061,2021-01-06,b,3,3,17,18,25,28,33
2062,2021-01-09,b,4,11,37,40,41,44,51
2063,2021-01-13,b,4,9,15,25,26,28,44
2064,2021-01-16,b,4,7,8,24,29,39,48
2065,2021-01-20,a,1,5,8,17,25,27,30
2066,2021-01-23,a,3,3,39,40,41,42,44
2067,2021-01-27,b,2,2,10,12,13,18,32
2068,2021-01-30,b,2,1,3,10,25,32,34
2069,2021-02-03,b,3,3,5,33,46,49,52
2070,2021-02-06,a,3,25,29,34,37,44,52
2071,2021-02-10,a,1,9,14,15,16,31,51
2072,2021-02-13,b,2,6,14,22,49,50,52
2073,2021-02-17,b,2,10,14,16,21,27,33
2074,2021-02-20,b,2,9,14,16,23,35,47
2075,2021-02-24,a,1,3,12,15,20,31,36
2076,2021-02-27,a,3,10,14,22,33,35,44
2077,2021-03-03,b,2,13,22,24,30,32,33
2078,2021-03-06,b,4,5,19,24,34,38,46
2079,2021-03-10,b,4,9,31,34,36,42,44
2080,2021-03-13,b,4,6,10,17,31,37,46
2081,2021-03-17,a,1,7,12,40,41,47,51
2082,2021-03-20,b,3,1,4,18,20,23,33
2083,2021-03-24,a,2,6,16,23,28,34,52
2084,2021-03-27,a,3,4,5,15,17,21,42
2085,2021-03-31,b,2,9,22,31,33,41,52
2086,2021-04-03,b,3,20,30,31,38,48,52
2087,2021-04-07,a,1,2,11,15,24,26,50
2088,2021-04-10,a,3,5,20,23,24,46,52
2089,2021-04-14,a,4,1,15,19,34,38,44
2090,2021-04-17,a,4,1,7,15,34,50,51
2091,2021-04-21,b,1,11,15,21,42,47,48
2092,2021-04-24,a,1,2,7,9,12,17,48
2093,2021-04-28,a,1,3,16,22,41,45,50
2094,2021-05-01,b,4,2,8,10,26,32,42
2095,2021-05-05,a,1,4,7,11,13,31,45
2096,2021-05-08,a,3,4,6,24,29,30,36
2097,2021-05-12,a,3,5,7,30,41,45,48
2098,2021-05-15,b,1,2,9,11,13,26,44
2099,2021-05-19,a,4,22,26,31,36,38,48
2100,2021-05-22,b,2,22,28,29,31,39,50
2101,2021-05-26,b,3,3,15,18,31,44,48
2102,2021-05-29,b,4,13,24,32,34,35,43
2103,2021-06-02,a,2,3,6,9,22,27,30
2104,2021-06-05,a,4,15,19,21,23,32,43
2105,2021-06-09,a,3,8,11,12,13,26,34
2106,2021-06-12,b,2,20,24,37,46,49,51
2107,2021-06-16,b,3,1,2,5,8,28,41
2108,2021-06-19,a,2,2,4,12,20,25,27
2109,2021-06-23,b,3,4,5,7,19,47,50
2110,2021-06-26,a,2,6,15,41,47,49,52
2111,2021-06-30,a,4,14,19,27,33,43,47
2112,2021-07-03,a,4,1,3,8,19,31,37
2113,2021-07-07,a,4,6,8,23,31,45,49
2114,2021-07-10,a,1,7,11,12,24,43,46
2115,2021-07-14,a,3,1,12,15,37,38,51
2116,2021-07-17,b,1,17,29,37,39,44,49
2117,2021-07-21,a,1,29,33,37,41,45,50
2118,2021-07-24,b,1,1,16,21,32,48,52
2119,2021-07-28,b,4,1,2,16,25,46,51
2120,2021-07-31,b,3,3,6,26,35,45,51
2121,2021-08-04,a,4,4,5,24,31,43,44
2122,2021-08-07,b,4,4,12,22,33,39,47
2123,2021-08-11,b,4,5,7,10,19,24,35
2124,2021-08-14,b,1,22,23,37,38,42,51
2125,2021-08-18,a,2,4,19,22,30,33,44
2126,2021-08-21,a,2,12,18,28,33,35,41
2127,2021-08-25,a,2,7,15,27,41,49,51
2128,2021-08-28,a,4,6,14,17,38,42,47
2129,2021-09-01,b,1,20,29,30,31,39,48
2130,2021-09-04,a,2,29,32,34,39,49,50
2131,2021-09-08,b,1,6,25,31,40,43,50
2132,2021-09-11,a,3,1,6,17,25,26,44
2133,2021-09-15,a,4,16,29,36,37,43,49
2134,2021-09-18,b,3,2,3,6,41,42,47
2135,2021-09-22,b,4,5,12,13,29,36,43
2136,2021-09-25,b,2,10,11,30,32,35,42
2137,2021-09-29,a,3,1,14,28,31,39,41
2138,2021-10-02,a,4,21,30,32,45,47,50
2139,2021-10-06,b,1,15,17,36,40,46,52
2140,2021-10-09,b,4,3,11,23,33,41,46
2141,2021-10-13,a,3,1,4,5,16,32,42
2142,2021-10-16,b,1,2,16,19,32,41,46
2143,2021-10-20,b,3,2,3,6,29,36,44
2144,2021-10-23,b,2,18,31,34,38,44,51
2145,2021-10-27,b,4,5,14,25,36,50,52
2146,2021-10-30,b,1,3,6,8,17,33,43
2147,2021-11-03,b,1,18,21,26,27,41,52
2148,2021-11-06,b,3,5,10,14,16,45,51
2149,2021-11-10,a,3,3,14,17,34,36,45
2150,2021-11-13,b,4,5,7,25,33,38,51
2151,2021-11-17,a,2,8,15,34,35,43,51
2152,2021-11-20,b,3,2,3,13,17,32,46
2153,2021-11-24,b,1,11,12,15,47,48,51
2154,2021-11-27,b,1,5,7,20,28,33,37
2155,2021-12-01,b,1,3,8,11,12,18,35
2156,2021-12-04,b,1,2,6,8,11,12,39
2157,2021-12-08,b,1,8,11,13,18,20,21
2158,2021-12-11,b,2,10,18,23,34,38,41
2159,2021-12-15,a,2,2,4,8,9,33,42
2160,2021-12-18,a,2,9,16,25,29,41,51
2161,2021-12-22,a,4,14,19,21,39,40,41
2162,2021-12-25,b,3,12,13,28,33,36,40
2163,2021-12-29,a,3,1,8,14,28,31,50
2164,2022-01-01,b,3,2,8,21,37,38,42
2165,2022-01-05,b,4,7,8,10,17,36,52
2166,2022-01-08,a,2,10,31,38,45,48,52
2167,2022-01-12,b,4,9,35,40,47,49,51
2168,2022-01-15,b,3,6,17,18,27,30,50
2169,2022-01-19,b,4,3,12,38,42,43,49
2170,2022-01-22,b,4,10,14,27,38,39,44
2171,2022-01-26,b,4,11,14,22,31,32,43
2172,2022-01-29,a,1,8,16,25,48,49,51
2173,2022-02-02,a,1,2,3,15,30,38,43
2174,2022-02-05,b,4,9,17,39,44,46,50
2175,2022-02-09,b,1,1,8,15,34,42,46
2176,2022-02-12,a,1,5,7,36,43,44,50
2177,2022-02-16,a,3,2,6,12,23,26,43
2178,2022-02-19,a,2,1,3,7,12,19,34
